Title,Investigators,Investigator1,Investigator2,Investigator3,Investigator4,Investigator5,Investigator6,Investigator7,Investigator8,Investigator9,ContractPeriod,EndYear,FundingAgency,UW#,DNR#
"Environmental Investigation of the City of Two Rivers Landfills, Manitowoc County, Wisconsin","Thomas P. Van Biersel, Michael R. Noel, Hydro- Search Inc.",Thomas P. Van Biersel, Michael R. Noel,,,,,,,,"01/30/1986-
06/30/1987",1987,DNR,WR85R 002,24
"Groundwater Quality and Laundromat Wastewater: Summit Lake, Wisconsin","Jack G. Saltes, Ed Kruel, DNR",Jack G. Saltes, Ed Kruel,,,,,,,,1985,1985,DNR,WR85R 005,29
Barron County Nitrate Study,"Dave Hanson, William McKinley, DNR",Dave Hanson, William McKinley,,,,,,,,1985,1985,DNR,WR85R 017,37
Volatile Organic Compound Contamination of Private Water Supplies Adjacent to Abandoned Landfills in Marathon County,"Thomas Witthopf, Environmental Health Division-Marathon County",Thomas Witthopf,,,,,,,,,1985,1985,DNR,WR85R 001,41
Graphical and Statistical Methods to Assess the Effect of Landfills on Groundwater Quality,"Kenneth W. Potter, Iris Goodman, UW-Mad.",Kenneth W. Potter, Iris Goodman,,,,,,,,"08/30/1985-
06/30/1987",1987,DNR,WR85R 006,14a
Field Investigation of Groundwater Impacts from Absorption Pond Systems Used for Wastewater Disposal,"John A. Hoopes, Laurie Parsons, UW-Mad.",John A. Hoopes, Laurie Parsons,,,,,,,,"01/21/1985-
06/30/1986",1986,DNR,WR85R 016,17a
A Case Study of Nitrogen Transformation at a Rapid Infiltration System Used for the Disposal of Food Processing Wastewater,"William C. Boyle, John
A. Hoopes, John Niewoehner, UW-Mad.",William C. Boyle," John A. Hoopes,", John Niewoehner,,,,,,,"11/15/1985-
06/30/1986",1986,DNR,WR85R 024,17b
Filtration Preservation Study of Groundwater Samples,"David Sauer, John Schwalbe, DNR",David Sauer, John Schwalbe,,,,,,,,1985,1985,DNR,WR85R 004,21a
"Monitoring of Volatile Organic Compounds in Tomah, Wisconsin",Charles J. Krohn,Charles J. Krohn,,,,,,,,,1985,1985,DNR,WR85R 009,31a
"Hydrogeological Investigation of VOC Contaminated Private Wells Near Hudson, Wisconsin","Jim Anklam, William J. Evans, DNR",Jim Anklam, William J. Evans,,,,,,,,1985,1985,DNR,WR85R 026,31b
Volatile Organic Compounds in Groudwater and Leachate at Wisconsin Landfills,"Marci A. Friedman, DNR",Marci A. Friedman,,,,,,,,,1985-1987,1987,DNR,WR85R 018,4a
Nitrate Contamination in West-Central Wisconsin with Emphasis on Mil.l Run First Edition Subdivision,"John R. Tinker, UW-Eau Claire",John R. Tinker,,,,,,,,,1987-1990,1990,DNR,WR86R 002,11
"Lead Migration from Contaminated Sites
- Door County, Wisconsin","James J. Wiersma, Ronald D. Stieglitz, UW- Green Bay",James J. Wiersma, Ronald D. Stieglitz,,,,,,,,"08/07/1986-
09/30/1988",1988,DNR,WR86R 001,13
North-Central District Gas Probe Purchase,,,,,,,,,,,,,,,25
Lake Michigan District Maplewood Investigation,,,,,,,,,,,,,,,26
Lake Michigan District Green Bay Terminal Study,,,,,,,,,,,,,,,27
Hydrogeologic Investigation and Groundwater Quality Assessment (Havenswood Landfill),"Pratap N. Singh, Mil.ler Consulting Associates, Anthony R. Pawloski, Mil.ler Consulting Engineers",Pratap N. Singh,, Anthony R. Pawloski,,,,,,,1986,1986,DNR,WR86R 003,28
Flambeau Paper Sulfite Lagoon Site Contamination Study,"William Lantz, Dan Detroit, DNR",William Lantz, Dan Detroit,,,,,,,,"07/08/1986-
08/15/1986",1986,DNR,WR86R 006,30
Computer Purchase,,,,,,,,,,,,,,,32
SIR System Purchase,,,,,,,,,,,,,,,33
Lake Michigan Districe Well Conversion,,,,,,,,,,,,,,,35
Lake Michigan District Well Abandonment,,,,,,,,,,,,,,,36
Downward Movement of Water Below Barnyard Grass Filter Strips - Case Studies,"Gary D. Bubenzer, James C. Converse, John
W. Patoch, UW-Mad.",Gary D. Bubenzer, James C. Converse, John,,,,,,,"08/26/1986-
09/30/1988",1988,DNR,WR86R 008,39
"1987 Volatile Organic Compound Testing Project in Rock County, Wisconsin","David Holman, Environmental Health Division, Rock County",David Holman,,,,,,,,,1986,1986,DNR,WR86R 007,40
Investigation of Large Scale Subsurface Soil Absorption Systems,"Daniel Peerenboom, DNR",Daniel Peerenboom,,,,,,,,,"11/13/1986-
06/30/1987",1987,DNR,WR86R 004,42
Characterization of Groundwater Impacts at an Above Ground Petroleum Storage Terminal,"Gregory T. Becker, Robert K. Ham, UW- Mad.",Gregory T. Becker, Robert K. Ham,,,,,,,,"08/13/1986-
06/30/1987",1987,DNR,WR86R 010,43
Plover Area Nitrate Study,"Fred Bailey, DNR",Fred Bailey,,,,,,,,,1986,1986,DNR,WR86R 011,48
Research and Data Analysis of Groundwater Contamination from Municipal Rapid Infiltration Land Disposal Systems,"William C. Boyle, John
A. Hoopes, Kenneth W. Potter, John Schwalbe, UW-Mad.",William C. Boyle, John,,,,,,,,1986,1986,DNR,WR86R 009,56
Groundwater Survey of Bacterial Contamination Near Rapid Infiltration Wastewater Treatment System,"Chris Norenberg, Jon Standridge, Wisconsin State Laboratory of Hygiene",Chris Norenberg, Jon Standridge,,,,,,,,1986,1986,DNR,WR86R 005,21b
Sealing Characteristics of Sodium Bentonite Slurries for Water Wells,"Tuncer Edil, Michael
M.K. Chang, AhMad.
S.H. Mahanna, L.T. Lan, UW-Mad.",Tuncer Edil, Michael M.K. Chang, AhMad. S.H. Mahanna,L.T. Lan,,,,,,"07/27/1987-
06/30/1988",1988,DNR,WR87R 008,34
Mutagenic Effects of Selected Toxicants Found in Wisconsin's Groundwater,"Lorraine F. Meisner, UW- Mad.. David A. Belluck, DHSS. Boyd Roloff, UW- State Laboratory of Hygiene",Lorraine F. Meisner, David A. Belluck, Boyd Roloff,,,,,,,"08/01/1987-
12/31/1989",1989,DNR,WR87R 007,38
Lead Contamination Study of Door County,"Rick Stoll, DNR",Rick Stoll,,,,,,,,,1987,1987,DNR,WR87R 002,44
North-Central Sand and Gravel Mining,,,,,,,,,,,,,,,45
Devil's Lake Soils Work,,,,,,,,,,,,,,,46
Analytical Determination of Atrazine Alachlor and Their Selected Degradation Products in Contaminated Groundwater: Implication for Wisconsin Groundwater,"William Sonzogni, Wisconsin State Laboratory of Hygiene. Deborah B. DeLuca, UW- Mad..",William Sonzogni,  Deborah B. DeLuca,,,,,,,,"09/1987-
08/1989",1989,DNR,WR87R 003,47
"Assessment of Geologic Controls on Groundwater Flow and Distribution in Precambrian Bedrock, Central Wisconsin, Using Remote Sensing and Geophysical Analysis","Donald M. Davidson Jr., Northern Illinios University. Bruce A. Brown,WGNHS",Donald M. Davidson Jr.,  Bruce A. Brown,,,,,,,,"07/13/1987-
06/30/1989",1989,DNR,WR87R 012,49
A Ground Penetrating Radar Study of Water Table Elevation in a Portion of Wisconsin's Central Sand Plain,"Mary P. Anderson, Charles R. Bentley, Geoffrey C. Bohling, UW- Mad.",Mary P. Anderson, Charles R. Bentley, Geoffrey C. Bohling,,,,,,,"07/22/1987-
06/30/1988",1988,DNR,WR87R 014,50
Mineralogical and Geophysical Monitoring Naturally Occurring Radioactive Elements in Selected Wisconsin Aquifers,"Robert W. Taylor, Gregory Mursky, UW- Mil.",Robert W. Taylor, Gregory Mursky,,,,,,,,"07/15/1987-
12/30/1988",1988,DNR,WR87R 006,51
"Degradation of Atrazine, Alachlor, Metolachlor in Soils and Aquifer Materials","Gordon Chesters, Geronimo V. Simsiman, Riyadh Fathulla, Bashar J. Alhajjar, Robin F. Harris, John M. Harkin, Jonathan Levy, UW-Mad.",Gordon Chesters, Geronimo V. Simsiman, Riyadh Fathulla," Bashar J. Alhajjar, ",Robin F. Harris, John M. Harkin,Jonathan Levy,,,"07/10/1987-
09/30/1989",1989,DNR,WR87R 010,52
Evaluation of the Effect of Stormwater Disposal on Groundwater,"Byron Shaw, Gerald Nienke, James Berndt, UW-Stevens Point",Byron Shaw, Gerald Nienke, James Berndt,,,,,,,"07/16/1987-
06/30/1989",1989,DNR,WR87R 005,53
Radionuclides in Drinking Water of North central Wisconsin,"Chuck Fitzgerald, Bill Dobbins, DNR",Chuck Fitzgerald, Bill Dobbins,,,,,,,,1987,1987,DNR,WR87R 009,54
"Digital Simulation of Solute Transport to Green Bay and Lake Michigan by Groundwater from Door County, Wisconsin","Douglas S. Cherkauer, Peter McKereghan, Linda Schalch, UW-Mil.",Douglas S. Cherkauer, Peter McKereghan, Linda Schalch,,,,,,,"07/1987-
09/1990",1990,DNR,WR87R 011,57
Methods for Determining Compliance with Groundwater Quality Regulations at Waste Disposal Facilities,"Kenneth W. Potter, Sarah
R. Fisher, UW-Mad.",Kenneth W. Potter, Sarah R. Fisher,,,,,,,,"08/05/1987-
12/31/1988",1988,DNR,WR87R 004,14b
VOC Contamination at Selected Wisconsin Landfills - Sampling Results and Policy Implications,"Janet R. Battista, DNR",Janet R. Battista,,,,,,,,,1988-1989,1989,DNR,WR87R 013,4b
Pesticide Migration Study,"Byron Shaw, UW - Stevens Point, and Mike Heitman, UW - Stevens Point",Byron Shaw,,  Mike Heitman,,,,,,,"07/01/1989 –
06/30/1991",1991,DNR,WR88R 004,55
Grade A Dairy Farm Water Well Quality Survey,"Gary LeMasters, DATCP. Douglas J. Doyle, WASS.",Gary LeMasters,  Douglas J. Doyle,,,,,,,,"09/02/1988-
06/30/1989",1989,DNR,WR88R 007,58
Demo of low input strategies for potato/vegetable production in irrigated sands,"Shaw, Curwen, Kraft, Osborne",Shaw, Curwen, Kraft, Osborne,,,,,,"07/01/1989 -
6/30/1991",1991,DNR,WR88R 001,59
"Groundwater Quality Investigation of Selected Townships in Jefferson County, Wisconsin","Fred Madison, UW. Andrea Kenter, Wisconsin Geological & Natural History Survey",Fred Madison,  Andrea Kenter,,,,,,,,"12/27/1988-
07/01/1989",1989,DNR,WR88R 006,60
Effects of Volatile Organic Compounds on clay landfill liner performance,"Edil, Berthouex, Park, Sandstrom",Edil, Berthouex, Park, Sandstrom,,,,,,"December 20, 1988
through December 31, 1990",1990,DNR,WR88R 008,61
Effect of Soil Type on Atrazine and Alachlor Movement Through Unsaturated Zone,"Tommy Daniel, Rick Wietersen, Kevin Fermanich, UW-Mad.",Tommy Daniel, Rick Wietersen, Kevin Fermanich,,,,,,,"10/05/1988-
06/20/1989",1989,"DATCP, DNR,",WR88R 009,62
Designs for wellhead protection in Central Wisconsin,"Osborne, Sorenson, Knaak, Mechenich",Osborne, Sorenson, Knaak, Mechenich,,,,,,"September 29, 1989 to
November 30, 1989",1989,DNR,WR88R 005,63
Subdivision impacts on groundwater quality,"Shaw, Ameson, VanRyswyk",Shaw, Ameson, VanRyswyk,,,,,,,"07/01/1989 -
6/30/1991",1991,DNR,WR88R 002,67
Optimum Manure Application Rate - Corn Fertility Management and NitrateLeaching to Groundwater in Sandy Soils,"Byron Shaw, Paul Trapp, UW - Stevens Point",Byron Shaw, Paul Trapp,,,,,,,,"07/01/1989 -
06/30/1991",1991,DNR,WR88R 003,71
"Atrazine Contamination of Groundwater in Dane County, Wisconsin","Bradbury, McGrath",Bradbury, McGrath,,,,,,,,"07/01/1989 –
06/30/1991",1991,"DNR, DATCP",WR89R 009,64
"Sources and Extent of Atrazine Contamination of Groundwater at a Grade A Dairy Farm in Dane County, Wisconsin","Gordon Chesters,  UW- Mad., and Jonathan Levy, Miami University",Gordon Chesters,, Jonathan Levy,,,,,,,"07/01/1989 –
06/30/1991",1991,"DATCP, UWS, DNR",WR89R 008,65
Incorporation of County Groundwater Inventory Data into the DNR Groundwater Information Network (GIN),Bohn,Bohn,,,,,,,,,"07/01/1989 –
06/30/1990",1990,DNR,WR89R 010,68
DNR and DATCP Rural Well Survey,LeMasters,LeMasters,,,,,,,,,"01/1990 -
03/1991",1991,DNR,WR89R 005,69
Follow Up to the Grade A Dairy Farm Well Water Quality Survey,"Cowell, LeMasters",Cowell, LeMasters,,,,,,,,"07/01/1989 –
06/30/1990",1990,DNR,WR89R 007,70
Report on Bacteriological Water Quality Monitoring of Door County Variance and Special Casing Approval Wells,"Keith Hutchinson, Bruce Urben, and Sue Beaumier, DNR",Keith Hutchinson, Bruce Urben,  Sue Beaumier,,,,,,,"07/01/1989 –
06/30/1991",1991,DNR,WR89R 006,72
Volatile Organic Compound Attenuation in Unsaturated Soil Above and Below an On-site Wastewater Infiltration System,"Tyler, Peterson, Sauer",Tyler, Peterson, Sauer,,,,,,,"07/01/1989 –
06/30/1991",1991,DNR,WR89R 001,73
Variation in Hydraulic Conductivity in Sandy Glacial Till: Site Variation Versus Methodology,"Rayne, Mickelson, Bradbury",Rayne, Mickelson, Bradbury,,,,,,,0,,DNR,WR89R 004,74
A Field Evaluation of Drainage Ditches as Barriers to Contaminant Migration,"Jean Bahr, Lucy W. Chambers, UW-Mad.",Jean Bahr, Lucy W. Chambers,,,,,,,,"11/16/1989-
09/30/1991",1991,DNR,WR89R 011,75
Nitrogen Isotope Monitoring at Unsewered Subdivisions,John Tinker,John Tinker,,,,,,,,,"01/1990 -
03/1991",1991,DNR,WR89R 002,76
Analytical Determination of Pesticide Metabolites and Carrier Chemicals in Wisconsin Wells,"William C. Sonzogni, Michael Eldan, J. Robert Lawrence, Wisconsin Laboratory of Hygiene, UW-Mad.",William C. Sonzogni, Michael Eldan, J. Robert Lawrence,,,,,,,"01/1990 -
03/1991",1991,DNR,WR89R 003,77
Barnyard Management Practices: Effect on Movement of Nitrogen Through Soils and Impact on Groundwater Quality,"Byron Shaw, Michael J. Travis, Bryan D. Bowen, UW-Stevens Point. Bob Wilson, Soil Conservation Service. Tim Victor, PCLCC. Dave Jelinski, DATCP.",Byron Shaw, Michael J. Travis, Bryan D. Bowen, Bob Wilson, Tim Victor,  Dave Jelinski,,,,"08/25/1988-
09/30/1990",1990,DNR,WR90R 002,9
"Effect of Soil Type, Selected Best Management Practices, and Tillage on Atrazine and Alachlor Movement through the Unsaturated Zone","Lowery, McSweeney, Fermanich, Hart, Wang, Seybold",Lowery, McSweeney, Fermanich, Hart, Wang, Seybold,,,,"8/18/89-
12/31/91",1991,DNR,WR90R 011,66
To Expand Groundwater Sampling in the Lower Wisconsin River Valley,"Cates, Madison., Postle",Cates, Madison., Postle,,,,,,,"07/01/1990 –
06/30/1991",1991,DNR,WR90R 026,78
Crop Rotations Effects on Leaching Potential and Groundwater Quality,"J. L. Posner, G. D. Bubenzer, F. Mad., UW- Mad.",J. L. Posner, G. D. Bubenzer, F. Mad.,,,,,,,"06/01/1990 -
12/31/1992",1992,DNR,WR90R 003,80
"A Study of the Response of Nitrate and Atrazine Concentrations in Groundwater from Agricultural use on a Sandy, Irrigated Corn Field in the Lower Wisconsin River Valley","Kim Cates, Fred Madison",Kim Cates, Fred Madison,,,,,,,,"07/01/1990 –
06/30/1993",1993,DNR,WR90R 010,81
"A Comparative Study of Nitrate Loading to Groundwater from Mound, In-Ground Pressure and At-Grade Septic Systems","Byron Shaw, Nancy Turyk",Byron Shaw, Nancy Turyk,,,,,,,,"7/01/1991-
6/30/1992",1992,DNR,WR90R 001,82
The Biological Impact of Landfill Leachate on Nearby Surface Waters,"William Sonzogni, Jonathon Standridge, and Steven Geis, UW - State Laboratory of Hygiene",William Sonzogni, Jonathon Standridge, Steven Geis,,,,,,,"07/01/1990 –
06/30/1991",1991,DNR,WR90R 022,83
Dependence of aldicarb residue degradation rates on groundwater chemistry in the Wisconsin Central Sands,"George Kraft, Phil Helmke",George Kraft, Phil Helmke,,,,,,,,"07/01/1990 –
06/30/1991",1991,DNR,WR90R 014,84
Munipcal wastewater sanitary lagoon project,"Kopecky, Portle, Dunn",Kopecky, Portle, Dunn,,,,,,,"07/01/1990 –
06/30/1991",1991,DNR,WR90R 015,85
Waupaca County groundwater project: Towns of St. Lawrence and Little Wolf,"Wilson, Blonde",Wilson, Blonde,,,,,,,,"7/01/1990-
6/30/1992",1992,DNR,WR90R 000,79a
Bioremediation of Herbicide- Contaminated Soil and Water,"Robin F. Harris, UW- Mad.",Robin F. Harris,,,,,,,,,"07/01/1990 –
06/30/1992",1992,UWS,WR90R 018,
Contamination Attenuation Indices for Sandy Soils: Tools for Information Transfer.,"Kevin McSweeney, UW- Mad., Fred Madison, Geological and Natural History Survey",Kevin McSweeney,, Fred Madison,,,,,,,"07/01/1990 –
06/30/1991",1991,UWS,WR90R 008,
"Facility plan amedment for wastewater collection for Green Lake Sanitary District, Green Lake, WI",,,,,,,,,,,"07/01/1990 –
06/30/1991",1991,DIHLR,WR90R 009,
Design of a small scale transportable mixing/loading system,Kammel,Kammel,,,,,,,,,"07/01/1990 –
06/30/1992",1992,DATCP,WR90R 016,
Prediction of organic chemical leachate concentrations from soil samples,Jae Park,Jae Park,,,,,,,,,"07/01/1990 –
06/30/1991",1991,UWS,WR90R 004,
The economic effects of groundwater contamination on real estate,"Rabinowitz, Page",Rabinowitz, Page,,,,,,,,,,UWS,WR90R 005,
A tracer technique for measuring regional groundwater velocities from a single borehole,Monkmeyer,Monkmeyer,,,,,,,,,"07/01/1990 –
06/30/1991",1991,UWS,WR90R 006,
Tracking contaminant pathways in groundwater using a geologically based computer code for outwash,"David Mickelson, Mary Anderson",David Mickelson, Mary Anderson,,,,,,,,"07/01/1990 –
06/30/1992",1992,UWS,WR90R 007,
Nitrate Movement through the Unsaturated Zone of a Sandy Soil in the Lower Wisconsin River Valley,"Lowery, Fermanich, Grant, McSweeney, Kussow",Lowery, Fermanich, Grant, McSweeney, Kussow,,,,,,,UWS,WR90R 012,
Using ground pnetrating radar to predict preferential solute movement and improve contaminant monitoring in sandy soils,"Kiung, Madison",Kiung, Madison,,,,,,,,"07/01/1990 –
06/30/1992",1992,UWS,WR90R 013,
Near-source transport of contaminants in heterogeneous media,John Hoopes,John Hoopes,,,,,,,,,,,UWS,WR90R 017,
The Effects of Complex Mixtures of Chemicals in Leachates on the Transport of Pollutants in Groundwater,"Grundl, Cherkauer",Grundl, Cherkauer,,,,,,,,,,UWS,WR90R 019,
Adsorptive Behavior of Atrazine and Alachlor in Organic•Poor Sediments,"Grundl, Small",Grundl, Small,,,,,,,,,,UWS,WR90R 020,
Chemical transport across a sediment- water interface,Green,Green,,,,,,,,,"07/01/1990 –
06/30/1992",1992,UWS,WR90R 021,
Reactions of Chlorohydrocarbons on Clay Surfaces,Fripiat,Fripiat,,,,,,,,,"07/01/1990 –
06/30/1991",1991,UWS,WR90R 023,
"In-situ Removal of Fe, Mn, and Ra from groundwater","Christensen, Cherkauer",Christensen, Cherkauer,,,,,,,,,,UWS,WR90R 024,
Renovation of Pesticide Contaminated Rinse Water,"Gordon Chesters, John Harkin",Gordon Chesters, John Harkin,,,,,,,,,,UWS,WR90R 025,
Evaluation of Potential Phytotoxicity and Crop Residues when Using Sprayer Rinsate as a Portion of the Diluent in Pesticide Spray Mixtures,Binning,Binning,,,,,,,,,"07/01/1990 –
06/30/1991",1991,UWS,WR90R 027,
On-site nitrogen removal systems research demonstration project: Phase 1,Ayers and Associates,Ayers and Associates,,,,,,,,,"07/01/1990 –
06/30/1991",1991,UWS,WR90R 028,
Role of mobile colloids in the transport of chemical contaminants in groundwater,"Armstrong, Shafer",Armstrong, Shafer,,,,,,,,,,UWS,WR90R 029,
Integrated decision support for wellhead protection,"Adams, Benson",Adams, Benson,,,,,,,,,,UWS,WR90R 030,
Arsenic as a naturally elevated parameter in water supply wells in eastern Winnebago and Outagamie Counties,Rick Stoll,Rick Stoll,,,,,,,,,"07/01/1991 –
06/30/1992",1992,DNR,WR91R 002,87
Spatial attributes of the soil-landscape- groundwater system of the lower Wisconsin River Valley,"McSweeney, Madison, Attig, Bohn, Falk",McSweeney, Madison, Attig, Bohn, Falk,,,,,"07/01/1991 –
06/30/1993",1993,DNR,WR91R 009,88
Preliminary comparison of a discrete fracture model with a continuum model for groundwater movement in fractured dolomite,"Bradbury, Muldoon",Bradbury, Muldoon,,,,,,,,"07/01/1991 –
06/30/1992",1992,DNR,WR91R 018,89
Evaluation of NURE hydrogeochemical groundwater data for use in Wisconsin groundwater studies,"Bradbury, Mudrey, Shrawder",Bradbury, Mudrey, Shrawder,,,,,,,"07/01/1991 –
06/30/1992",1992,DNR,WR91R 019,90
Distribution of radionuclides in Wisconsin groundwater,"Bradbury, Mudrey",Bradbury, Mudrey,,,,,,,,"07/01/1991 –
06/30/1992",1992,DNR,WR91R 020,91
Assessment of Wisconsin's Groundwater Monitoring Plan (GWM) Program for Active Non-Approved Landfills (1985- 1990),"Laura Pugh, DNR, Barbara Gear, DNR",Laura Pugh,, Barbara Gear,,,,,,,"07/01/1991 –
06/30/1992",1992,DNR,WR91R 004,92
GIS Mapping of Groundwater Contaminant Sources Quality and Contamination Susceptibility for Door County,"Richard Stoll, Mike Hronek",Richard Stoll, Mike Hronek,,,,,,,,"07/01/1991 –
06/30/1993",1993,DNR,WR91R 017,93
Evaluation of denitrification systems for improving groundwater from on-site waste disposal systems,Byron Shaw,Byron Shaw,,,,,,,,,"07/01/1991 –
06/30/1993",1993,DNR,WR91R 003,94
"Remediation of Soils Contaminated by Leaking Underground Storage Tanks by Vapor Extraction and
in situ Bioremediation","Hickey, Jacobsen, Bubenzer",Hickey, Jacobsen, Bubenzer,,,,,,,"07/01/1991 –
06/30/1993",1993,DNR,WR91R 011,96
Municipal wastewater absorption pond renovation for enhanced nitrogen removal,"Gilbert, Oman",Gilbert, Oman,,,,,,,,"07/01/1991 –
06/30/1993",1993,DNR,WR91R 013,97
Dane County atrazine/lead management project,"Conners, Bohn, Madison, Muldoon, Richardson",Conners, Bohn, Madison, Muldoon, Richardson,,,,,"07/01/1991 –
06/30/1992",1992,DNR,WR91R 015,99
Waupaca County: Towns of Lebanon and Scandinavia,"Wilson, Blonde",Wilson, Blonde,,,,,,,,"07/01/1991 –
06/30/1992",1992,DNR,WR91R 001,79b
Investigation of Potential Groundwater Impacts at Demolition Landfills and Deer Pits,"Svavarsson, Fauble",Svavarsson, Fauble,,,,,,,,"07/01/1991 –
06/30/1993",1993,DNR,WR91R 005,98a
Nitrogen removal from domestic wastewater in unsewered area,"Otis, Converse",Otis, Converse,,,,,,,,"07/01/1991 –
06/30/1993",1993,DIHLR,WR91R 008,
"Estimating the spatial distribution of groundwater recharge rates using hydrologic, hydrogeologic, and geochemical methods",Ken Potter and Carl Bowser,Ken Potter ,Carl Bowser,,,,,,,,,,,WR91R 006,
New approaches to measuring bioloic effects of groundwater contaminants,Warren Porter,Warren Porter,,,,,,,,,"07/01/1991 –
06/30/1992",1992,UWS,WR91R 007,
Herbicide and nitrate movement in a sandy soil aquaifer in the Lower Wisconsin River Valley,"Lowery, McSweeney",Lowery, McSweeney,,,,,,,,"07/01/1991 –
06/30/1993",1993,UWS,WR91R 010,
Living mulch systems for nitrate trapping in vegetable production,Harrison,Harrison,,,,,,,,,"07/01/1991 –
06/30/1993",1993,UWS,WR91R 012,
Use of tire chips to attenuate VOC's,"Tuncer Edil, Jae Park",Tuncer Edil, Jae Park,,,,,,,,"07/01/1991 –
06/30/1993",1993,UWS,WR91R 014,
"Distribution, Sources and Fate of Atrazine in a Sandy-Till Aquifer","Gordon Chesters, Jonathan Levy",Gordon Chesters, Jonathan Levy,,,,,,,,"07/01/1991 –
06/30/1993",1993,UWS & DATCP,WR91R 016,
GIS for subsurface characterization,"Bosscher, Adams",Bosscher, Adams,,,,,,,,"07/01/1991 –
06/30/1993",1993,UWS,WR91R 021,
Effects of transient cross-stratification flow on contaminant dispersion,Jean Bahr,Jean Bahr,,,,,,,,,"07/01/1991 –
06/30/1993",1993,UWS,WR91R 022,
